"esn","dist","flight_cycle","t50_max","nc_avg","ps30_max","nrc_max","bpr_max","w32_avg","rul"
999101,16086.8231737406,31,1411.14,9049.05451612903,47.5,8139.62,8.4577,23.3790967741935,149
999102,59807.4948510941,49,1413.465,9047.99734693878,47.67,8137.07,8.4992,23.3139183673469,147
999103,86928.554028955,126,1414.605,9052.27261904762,47.88,8137.46,8.5043,23.2805222222222,66
999104,95777.5782836181,106,1414.19,9052.37839622642,47.71,8139.14,8.491,23.2979358490566,93
999105,98745.3946231388,98,1414.68,9052.54265306122,47.76,8140.87,8.4885,23.2952,123
999106,86890.4236185535,105,1414.24,9052.97114285714,47.72,8142.14,8.4829,23.3224952380952,78
999107,107963.579856625,160,1411.785,9059.8535625,47.6,8154.29,8.4582,23.388236875,81
999108,120882.540394685,166,1413.41,9048.81144578313,47.76,8136.13,8.4893,23.3131951807229,132
999109,66268.5584398042,55,1412.92,9050.98,47.78,8141.91,8.4977,23.3074290909091,123
999110,211780.572213393,192,1413.955,9062.10625,47.6,8151.68,8.4768,23.381425,107
999111,90444.3675868222,83,1415.67,9039.2056626506,47.8,8126.93,8.4896,23.2754530120482,150
999112,137417.729246719,217,1410.25,9060.24244239631,47.6,8155.74,8.4573,23.3939276497696,141
999113,234149.262361552,195,1412.255,9062.1498974359,47.57,8151.16,8.4809,23.3738476923077,104
999114,48240.1142889625,46,1414.345,9037.69934782609,47.84,8125.22,8.4765,23.2903869565217,157
999115,96155.1934697368,76,1411.395,9055.70815789474,47.52,8144.26,8.4601,23.3937552631579,93
999116,89690.962670373,113,1410.425,9053.79256637168,47.52,8150.54,8.4529,23.3807867256637,106
999117,126462.476209676,165,1414.125,9075.44854545454,47.69,8173.16,8.4825,23.3716751515152,50
999118,79007.6458474707,133,1414.605,9063.13,47.76,8154.04,8.5174,23.352162406015,28
999119,147442.846589979,135,1409.85,9056.78088888889,47.55,8147.01,8.4768,23.3793540740741,114
999120,199885.56575873,184,1417.79,9063.94527173913,48.13,8151.74,8.5414,23.3067510869565,16
999121,155359.063461418,148,1410.065,9058.94837837838,47.54,8168.51,8.4587,23.3869013513514,62
999122,19624.7871264501,39,1411.65,9048.9158974359,47.74,8137.36,8.4943,23.3205615384615,122
999123,94848.7869272335,130,1408.64,9051.20323076923,47.47,8147.44,8.4586,23.4048984615385,141
999124,195800.515550259,186,1414.315,9081.4335483871,47.82,8218.13,8.4982,23.3711978494624,20
999125,17248.9167716375,48,1412.025,9049.72729166667,47.54,8136.74,8.4687,23.3682666666667,171
999126,45256.8305570804,76,1410.08,9064.95171052631,47.47,8154.48,8.4678,23.3819539473684,162
999127,103384.546812997,140,1410.925,9050.58014285714,47.58,8140.94,8.4616,23.3789821428571,69
999128,155328.336288963,158,1413.32,9049.89215189873,47.77,8142.6,8.4858,23.3216772151899,145
999129,179256.864975336,171,1412.185,9059.82538011696,47.66,8154.3,8.4814,23.3674742690058,127
999130,137871.868984609,143,1415.335,9047.68363636364,47.78,8136.87,8.4908,23.2934601398601,140
999131,143288.372355827,196,1421.68,9072.08331632653,48.15,8162.3,8.5274,23.3130755102041,8
